,name,percent,category,produce,supply,img_url
0,경복궁 소주 40,40.0%,전통 소주 증류식,지비지 스피리츠 주식회사 농업회사법인,지비지 스피리츠 주식회사 농업회사법인,https://cdn.veluga.kr/files/supplier/369/drinks/24789_Main_-_gbg_soju_2.png
1,경복궁 소주 20,20.0%,전통 소주 증류식,지비지 스피리츠 주식회사 농업회사법인,지비지 스피리츠 주식회사 농업회사법인,https://cdn.veluga.kr/files/supplier/369/drinks/24797_Main_-_gbg_soju_4.png
2,산사춘,12.0%,전통 소주,농업회사법인 배상면주가,하이트진로 국산,https://cdn.veluga.kr/drinks/0/main/4345286d6d70434880821d63e51cc106_24-%E1%84%89%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A1%E1%84%8E%E1%85%AE%E1%86%AB.png
3,숙성증류주 혼,22.0%,전통 소주 증류식,농업회사법인 (주)제이엘,주식회사 골든블루,https://cdn.veluga.kr/files/supplier/90/drinks/16852_HONE.png
4,농태기,25.0%,전통 소주 증류식,하나도가,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/3317_%EB%86%8D%ED%83%9C%EA%B8%B0.png
5,아임파인 30,30.0%,전통 소주,록컴퍼니,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%B7%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB_30.png
6,아임파인 18.8,18.8%,전통 소주,록컴퍼니,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%B7%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AB_18.8.png
7,미상,25.0%,전통 소주,(주)시트러스,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%B5%E1%84%90%E1%85%B3%E1%84%85%E1%85%A5%E1%84%89%E1%85%B3_1.png
8,추사白25,25.0%,전통 소주,농업회사법인 예산사과와인(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%AE%E1%84%89%E1%85%A1%E1%84%87%E1%85%A2%E1%86%A825_1.png
9,추사白40,40.0%,전통 소주,농업회사법인 예산사과와인(주),부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%AE%E1%84%89%E1%85%A1%E1%84%87%E1%85%A2%E1%86%A840_1.png
10,엄청주,18.0%,전통 소주,삼오식품,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%A5%E1%86%B7%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%AE_1.png
11,금설,35.0%,전통 소주,농업회사법인 (주)금산인삼주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%B3%E1%86%B7%E1%84%89%E1%85%A5%E1%86%AF_1.png
12,모리 소주,19.0%,전통 소주,농업법인회사 부안강산명주,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A9%E1%84%85%E1%85%B5%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_1.png
13,이상헌 소주 52도,52.0%,전통 소주,농업회사법인 이가수불,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A1%E1%86%BC%E1%84%92%E1%85%A5%E1%86%AB_%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE_52_1.png
14,소나무와 학,43.0%,전통 소주,용두산조은술 영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%89%E1%85%A9%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AA_%E1%84%92%E1%85%A1%E1%86%A8_1.png
15,마주 소곡화주,41.0%,전통 소주,옥순가 양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%84%8C%E1%85%AE_%E1%84%89%E1%85%A9%E1%84%80%E1%85%A9%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%AE_1.png
16,감홍로 별주부전,40.0%,전통 소주,농업회사법인 감홍로,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A1%E1%86%B7%E1%84%92%E1%85%A9%E1%86%BC%E1%84%85%E1%85%A9_%E1%84%87%E1%85%A7%E1%86%AF%E1%84%8C%E1%85%AE%E1%84%87%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%AB_1.png
17,감 보드카,32.0%,전통 소주,양촌감영농조합법인,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A1%E1%86%B7%E1%84%87%E1%85%A9%E1%84%83%E1%85%B3%E1%84%8F%E1%85%A1_1.png
18,두레앙35,35.0%,전통 소주,농업회사법인 ㈜두레양조,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/14338_%EB%91%90%EB%A0%88%EC%95%9935.png
19,두레앙22,22.0%,전통 소주,농업회사법인 ㈜두레양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%83%E1%85%AE%E1%84%85%E1%85%A6%E1%84%8B%E1%85%A1%E1%86%BC_22_1.png
20,토끼소주 블랙 라벨,40.0%,전통 소주,농업회사법인 토끼소주(주),부국상사,https://assets.business.veluga.kr/media/public/%ED%86%A0%EB%81%BC%EC%86%8C%EC%A3%BC_%EB%B8%94%EB%9E%99_%EB%9D%BC%EB%B2%A8.png
21,토끼소주 화이트 라벨,23.0%,전통 소주,농업회사법인 토끼소주(주),부국상사,https://assets.business.veluga.kr/media/public/%ED%86%A0%EB%81%BC%EC%86%8C%EC%A3%BC_%ED%99%94%EC%9D%B4%ED%8A%B8_%EB%9D%BC%EB%B2%A8.png
22,유기농 이도 14,14.0%,전통 소주,조은술세종,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%B2%E1%84%80%E1%85%B5%E1%84%82%E1%85%A9%E1%86%BC_%E1%84%8B%E1%85%B5%E1%84%83%E1%85%A9_14.png
23,이도 42,42.0%,전통 소주,조은술세종,부국상사,https://assets.business.veluga.kr/media/public/%EC%9D%B4%EB%8F%84_42_375.png
24,이도 32,32.0%,전통 소주,조은술세종,부국상사,https://assets.business.veluga.kr/media/public/%EC%9D%B4%EB%8F%84_32_375.png
25,이도 22,22.0%,전통 소주,조은술세종,부국상사,https://assets.business.veluga.kr/media/public/%EC%9D%B4%EB%8F%84_22_375.png
